temperatura_c,llovio,ventas_tazas
20.4,1,250
15.0,0,218
21.7,0,147
19.2,1,235
9.5,1,318
23.6,0,174
20.2,0,193
20.6,0,181
10.0,0,291
15.2,0,199
13.9,0,220
22.8,0,140
18.3,1,232
21.2,0,145
15.1,0,233
11.6,0,247
16.9,0,180
9.0,1,300
21.2,0,175
18.1,1,256
20.1,1,260
13.7,0,286
23.5,1,203
22.3,0,143
20.5,0,137
11.1,0,260
15.5,1,249
8.7,0,269
10.5,0,250
18.9,0,187
19.9,0,200
23.5,1,198
13.2,0,235
13.9,0,213
15.5,0,188
11.0,1,293
10.1,0,263
15.6,0,249
11.6,0,254
18.7,1,254
15.0,1,259
21.3,1,193
19.2,0,169
13.0,1,271
21.3,1,252
20.9,1,203
14.2,0,244
12.6,0,227
18.9,0,206
10.2,1,315
11.2,0,252
8.1,0,280
20.6,0,163
18.6,0,200
19.3,0,178
20.5,1,199
15.3,1,242
17.1,1,253
10.2,0,292
9.8,1,315
